,DistilBERT-SST,BERT,TF-IDF + LR
safety,0.3244064577397911,0.21505376344086022,0.3406447324692589
cleanliness,0.46845007147233003,0.4585338634302853,0.40606060606060607
infrastructure,0.5482231717395508,0.5205190199871051,0.42076692538231003
nature,0.5438479781408443,0.7744295688476212,0.5186299081035922
attractions,0.655125489133438,0.5703130981920559,0.44944894976365407
heritage,0.7424408014571947,0.28997289972899726,0.23415103415103414
costs,0.5963973604423042,0.5113641552511415,0.46412596171050274
other,0.7201439955206389,0.7039607567739602,0.5190373610596092
