,DistilBERT-SST,BERT,TF-IDF + LR
safety,0.45478051525149926,0.3865593561368209,0.34641546328349304
cleanliness,0.4886253459001727,0.4558878530374282,0.4491006114682203
infrastructure,0.46431265360054164,0.43343529340353726,0.4009690168948244
nature,0.5513133151876058,0.7052213416447756,0.5521614714028142
attractions,0.5062479199604948,0.5078851300624971,0.43767284608207424
heritage,0.703793950828532,0.4088577150027539,0.36448921973761983
costs,0.622773485918558,0.5728844647884457,0.449479126017272
other,0.43915297315314783,0.4254332904271466,0.4139675932700663
