,DistilBERT-SST,BERT,TF-IDF + LR
safety,0.05373635600335852,0.036943744752308987,0.14021830394626364
cleanliness,0.11586901763224182,0.1376994122586062,0.10411418975650713
infrastructure,0.4450041981528128,0.4450041981528128,0.42989084802686817
nature,0.2401343408900084,0.22837951301427373,0.2510495382031906
attractions,0.6095717884130982,0.5768261964735516,0.5121746431570109
heritage,0.1746431570109152,0.17632241813602015,0.19899244332493704
costs,0.13014273719563393,0.11922753988245172,0.16204869857262805
other,0.9949622166246851,0.9966414777497901,0.6943744752308985
